tweet_id,favorites,retweets
892420643555336193,35380,7469
892177421306343426,30618,5545
891815181378084864,23033,3671
891689557279858688,38664,7645
891327558926688256,36950,8243
891087950875897856,18629,2759
890971913173991426,10819,1792
890729181411237888,59619,16711
890609185150312448,25631,3813
890240255349198849,29252,6482
890006608113172480,28199,6494
889880896479866881,25659,4413
889665388333682689,44060,8855
889638837579907072,24786,3965
889531135344209921,13941,1998
889278841981685760,23133,4715
888917238123831296,26751,3974
888804989199671297,23480,3746
888554962724278272,18105,3062
888078434458587136,20005,3073
887705289381826560,27814,4781
887517139158093824,42596,10429
887473957103951883,63031,15920
887343217045368832,30936,9326
887101392804085760,28137,5278
886983233522544640,31960,6773
886736880519319552,10977,2822
886680336477933568,20663,3964
886366144734445568,19398,2804
886267009285017600,110,4
886258384151887873,25681,5603
886054160059072513,0,96
885984800019947520,29930,5949
885528943205470208,33012,5663
885518971528720385,18806,3302
885311592912609280,0,16377
885167619883638784,20079,3868
884925521741709313,70652,15977
884876753390489601,25525,4945
884562892145688576,22326,4159
884441805382717440,24895,5049
884247878851493888,66549,17971
884162670584377345,18750,2651
883838122936631299,20069,3027
883482846933004288,42079,8747
883360690899218434,20843,3265
883117836046086144,34036,5879
882992080364220416,21934,3434
882762694511734784,25942,4324
882627270321602560,25722,5376
882268110199369728,41149,10274
882045870035918850,26920,4312
881906580714921986,22386,3016
881666595344535552,46537,9454
881633300179243008,116,7
881536004380872706,45431,14188
881268444196462592,21405,4697
880935762899988482,15721,2482
880872448815771648,19568,3393
880465832366813184,26135,5511
880221127280381952,24749,3684
880095782870896641,25389,3861
879862464715927552,20571,3088
879674319642796034,292,10
879492040517615616,21590,2816
879415818425184262,97161,39608
879376492567855104,15486,2777
879130579576475649,0,6044
879050749262655488,20734,4170
879008229531029506,17490,2376
878776093423087618,17823,3634
878604707211726852,27655,6273
878404777348136964,0,1131
878316110768087041,0,5892
878281511006478336,7103,1131
878057613040115712,38753,6044
877736472329191424,72787,16806
877611172832227328,0,71
877556246731214848,20892,3389
877316821321428993,25241,4631
877201837425926144,24953,4946
876838120628539392,19049,2964
876537666061221889,21873,4183
876484053909872640,17305,2104
876120275196170240,25802,4147
875747767867523072,23130,3803
875144289856114688,20231,4376
875097192612077568,25323,5424
875021211251597312,23531,4200
874680097055178752,25668,4136
874434818259525634,0,12949
874296783580663808,24020,3681
874057562936811520,20976,3556
874012996292530176,31543,9109
873580283840344065,22365,3524
873337748698140672,0,1412
873213775632977920,6610,1412
872967104147763200,25176,4841
872820683541237760,13626,3331
872620804844003328,19159,3258
872486979161796608,37708,8121
872122724285648897,31660,7259
871879754684805121,34718,9796
871762521631449091,18712,3131
871515927908634625,18701,3123
871166179821445120,0,5130
871102520638267392,19374,4957
871032628920680449,21076,3428
870804317367881728,31209,5564
870726314365509632,113,3
870656317836468226,11414,2350
870374049280663552,77088,23964
870308999962521604,20357,3743
870063196459192321,33869,7491
869772420881756160,39562,9153
869702957897576449,26204,5680
869596645499047938,14832,2807
869227993411051520,18972,3402
868880397819494401,60726,13031
868639477480148993,0,1871
868622495443632128,24741,4777
868552278524837888,9367,1871
867900495410671616,22550,3793
867774946302451713,31641,6646
867421006826221569,14987,2262
867072653475098625,0,108
867051520902168576,29999,7164
866720684873056260,18645,4353
866686824827068416,17941,3148
866450705531457537,113927,32058
866334964761202691,48784,12949
866094527597207552,0,7621
865718153858494464,23983,5122
865359393868664832,24698,4551
865006731092295680,26184,7042
864873206498414592,30143,7929
864279568663928832,13644,2744
864197398364647424,27985,8046
863907417377173506,19278,3788
863553081350529029,14287,3833
863471782782697472,0,2216
863432100342583297,22257,4790
863427515083354112,2059,87
863079547188785154,8212,1015
863062471531167744,7897,2216
862831371563274240,17970,4714
862722525377298433,16033,3246
862457590147678208,19129,4502
862096992088072192,69475,21219
861383897657036800,33850,9825
861288531465048066,16095,3802
861005113778896900,15665,3511
860981674716409858,0,1970
860924035999428608,0,728
860563773140209665,7043,1970
860524505164394496,22229,4872
860276583193509888,17307,3247
860184849394610176,15680,5397
860177593139703809,0,28493
859924526012018688,18466,3797
859851578198683649,14549,3257
859607811541651456,17557,1432
859196978902773760,84592,27833
859074603037188101,31865,12619
858860390427611136,0,7510
858843525470990336,14736,3215
858471635011153920,20350,4509
858107933456039936,14881,2682
857989990357356544,15187,2403
857746408056729600,32366,9885
857393404942143489,5570,1527
857263160327368704,19017,4213
857214891891077121,213,17
857062103051644929,0,155
857029823797047296,17855,3701
856543823941562368,15526,2688
856526610513747968,11270,1756
856330835276025856,0,624
856288084350160898,490,15
856282028240666624,26344,5867
855862651834028034,316,22
855860136149123072,4646,910
855857698524602368,11301,1971
855851453814013952,43612,16936
855818117272018944,25394,5088
